ID;eln_id;chemist;stmat_1_chemform;stmat_2_chemform;product_1_chemform;product_2_chemform;product_3_chemform;product_4_chemform
92;ELN045640-095;fluckign;C16H24BNO3;;C11H15NO;C10H14BNO3;;
93;ELN045640-096;fluckign;C20H19NO3;;C26H30BNO5;C32H41B2NO7;;
94;ELN045640-097;fluckign;C20H19NO3;;C26H30BNO5;C32H41B2NO7;;
95;ELN045640-098;fluckign;C20H19NO3;;C26H30BNO5;C32H41B2NO7;;
96;ELN045640-099;fluckign;C22H24BClN2O4;;C22H23ClN2O3;;;
97;ELN045640-100;fluckign;C28H34BClN2O4;;C22H23ClN2O3;;;
98;ELN045640-101;fluckign;C22H24BClN2O4;;C22H23ClN2O3;;;
99;ELN045640-102;fluckign;C23H30BNO6;;C17H19NO5;;;
100;ELN045640-103;fluckign;C17H20BNO6;;C17H19NO5;;;
101;ELN045640-104;fluckign;C10H14BNO3;;C10H12BrNO;;;
102;ELN045640-105;fluckign;C10H14BNO3;;C10H12ClNO;;;
103;ELN045640-106;fluckign;C10H14BNO3;;C10H12ClNO;;;
104;ELN045640-107;fluckign;C10H14BNO3;;C10H12BrNO;;;
105;ELN045640-108;fluckign;C10H14BNO3;;C10H12ClNO;;;
106;ELN045640-109;fluckign;C10H14BNO3;;C10H12BrNO;;;
107;ELN045640-110;fluckign;C26H30BNO5;;C21H18N2O3;;;
108;ELN045640-111;fluckign;C26H30BNO5;;C21H18N2O3;;;
109;ELN045640-112;fluckign;C22H23ClN2O2;;C22H24BClN2O4;C28H34BClN2O4;;
110;ELN045640-113;fluckign;C10H14BNO3;;C10H12BrNO;;;
111;ELN045640-114;fluckign;C10H14BNO3;;C10H12BrNO;;;
112;ELN045640-115;fluckign;C20H19NO3;;C32H22F4NO3S2;;;
113;ELN046464-017;strobes3;C12H11N;;C12H10FN;;;
114;ELN046464-018;strobes3;C12H11N;;C12H10FN;;;
115;ELN046464-019;strobes3;C12H11N;;C12H10FN;;;
116;ELN046464-020;strobes3;C12H11N;;C12H10FN;;;
117;ELN046464-021;strobes3;C12H11N;;C12H10FN;;;
118;ELN046464-022;strobes3;C12H11N;;C12H10FN;;;
119;ELN046464-023;strobes3;C12H11N;;C12H10FN;;;
120;ELN046464-024;strobes3;C12H11N;;C12H10FN;;;
121;ELN046464-025;strobes3;C12H11N;;C12H10FN;;;
122;ELN046464-026;strobes3;C12H11N;;C12H10FN;;;
123;ELN046464-027;strobes3;C12H11N;;C12H10FN;;;
124;ELN046464-028;strobes3;C12H11N;;C12H10FN;;;
125;ELN046464-029;strobes3;C12H11N;;C12H10FN;;;
126;ELN046464-030;strobes3;C12H11N;;C12H10FN;;;
127;ELN046464-031;strobes3;C12H10FN;;C24H18N2;;;
128;ELN046464-032;strobes3;C12H10FN;;C24H18N2;;;
129;ELN045640-116;fluckign;C16H24BNO3;;C10H12BrNO;C10H14BNO3;;
130;ELN045640-117;fluckign;C10H14BNO3;;C10H13NO2;;;
131;ELN045640-118;fluckign;C16H24BNO3;;C10H13NO2;C10H14BNO3;;
132;ELN046464-033;strobes3;C10H14BNO3;;C10H12ClNO;;;
133;ELN046464-034;strobes3;C10H14BNO3;;C10H12ClNO;;;
134;ELN046464-035;strobes3;C10H14BNO3;;C10H12ClNO;;;
135;ELN045640-121;fluckign;C26H30BNO5;;C20H19NO4;;;
136;ELN045640-122;fluckign;C26H30BNO5;;C20H19NO4;;;
137;ELN045640-119;fluckign;C26H30BNO5;;C20H18BrNO3;;;
138;ELN045640-120;fluckign;C26H30BNO5;;C20H18BrNO3;;;
139;ELN045640-123;fluckign;C26H30BNO5;;C20H18ClNO3;;;
140;ELN045640-124;fluckign;C26H30BNO5;;C20H18ClNO3;;;
141;ELN045640-125;fluckign;C26H30BNO5;;C21H18F3NO3;;;
142;ELN045640-126;fluckign;C26H30BNO5;;C21H18F3NO3;;;
143;ELN045640-127;fluckign;C26H30BNO5;;C21H18F3NO3;;;
144;ELN045640-128;fluckign;C16H24BNO3;;C10H14BNO3;;;
145;ELN045640-129;fluckign;C16H24BNO3;;C10H14BNO3;;;
146;ELN045639-051;stenzhoy;C8H9NO3;;C14H12N2O4;;;
147;ELN045639-052;stenzhoy;C8H9NO3;;C14H12N2O4;;;
148;ELN045639-055;stenzhoy;C14H12N2O4;;C13H8N2O3;;;
