ID;eln_id;chemist;stmat_1_chemform;stmat_2_chemform;product_1_chemform;product_2_chemform;product_3_chemform;product_4_chemform
337;ELN045639-103;stenzhoy;C10H9N;;C14H15N;;;
338;ELN045639-104;stenzhoy;C7H5NS;;C11H11NS;;;
339;ELN045639-105;stenzhoy;C10H9N;;C14H15N;;;
340;ELN040616-207;wolfardj;C9H9NO5;C7H4ClNO4;C16H12N2O9;;;
341;ELN040616-206;wolfardj;C23H25F2N7O2;;C23H25F2N7O3;;;
342;ELN040616-208;wolfardj;C9H9NO5;C7H4ClNO4;C16H12N2O9;;;
343;ELN045639-106;stenzhoy;C9H6BrN;;C14H14BrN;;;
344;ELN040616-209;wolfardj;C16H12N2O9;C19H32N2O5;C29H39N3O11;;;
345;ELN040616-210;wolfardj;C16H12N2O9;C19H32N2O5;C29H39N3O11;;;
346;ELN049364-001;baslerh1;C10H9N;;C14H15N;;;
