User;ELN ID;IPC no.;Duration (h);LC-MS method (min);LC-MS instrument;LC-MS file name;IPC result
;ELN045640-055;1;2,5;2;MSA_92_542;MSA-23-01547;no SM, no product
;ELN045639-012;1;2;2;MSA_92_542;MSA-23-01551;still SM, different products
;ELN045640-054;2;21;2;MS3_92_523;MS3-23-88062;redo on other LCMS
;ELN045640-054;2;21;2;MS2_92_523;MS2-23-63140;no SM, little P
;ELN045640-057;1;17;2;MSA_92_542;MSA-23-01579;product, but still SM
;ELN045640-058;1;18;2;MSA_92_542;MSA-23-01579;mainly product
;ELN045640-059;1;18;2;MSA_92_542;MSA-23-01579;mainly sideproduct, traces of product
;ELN045640-057;2;21;2;MSA_92_542;MSA-23-01580;no change to first IPC
;ELN045640-060;1;20;2;MS2_92_523;MS2-23-63372;
;ELN045639-013;1;1;2;MS3_92_523;MS3-23-88602;SM left, different products
;ELN045639-014;1;1;2;MS3_92_523;MS3-23-88602;SM left, different products
;ELN045639-013;2;2;2;MS3_92_523;MS3-23-88616;SM left, different products
;ELN045639-014;2;2;2;MS3_92_523;MS3-23-88616;SM left, different products
;ELN045639-013;3;3;2;MS3_92_523;MS3-23-88621;total conversion, different products present
;ELN045639-014;3;3;2;MS3_92_523;MS3-23-88621;small amount of SM left, different products
;ELN045639-013;4;18;2;MS3_92_523;MS3-23-88634;total conversion, different products present
;ELN045639-014;4;18;2;MS3_92_523;MS3-23-88634;small amount of SM left, different products
;ELN045639-015;1;1;2;MSA_92_542;MSA-23-01626;SM left, mono- and dialkylated product
;ELN045639-016;1;1;2;MSA_92_542;MSA-23-01626;SM left, monoalkylated product
;ELN045639-017;1;1;2;MSA_92_542;MSA-23-01626;SM left, mono- and dialkylated product
;ELN045639-018;1;1;2;MSA_92_542;MSA-23-01626;SM left, mono- and dialkylated product
;ELN045639-015;2;2;2;MSA_92_542;MSA-23-01627;SM left, mono- and dialkylated product
;ELN045639-016;2;2;2;MSA_92_542;MSA-23-01627;SM left, monoalkylated product
;ELN045639-017;2;2;2;MSA_92_542;MSA-23-01627;no SM left, mono- and dialkylated product
;ELN045639-018;2;2;2;MSA_92_542;MSA-23-01627;SM left, mono- and dialkylated product
;ELN045639-015;3;18;2;MSA_92_542;MSA-23-01628;SM left, mono- and dialkylated product
;ELN045639-016;3;18;2;MSA_92_542;MSA-23-01628;SM left, mono- and dialkylated product
;ELN045639-017;3;18;2;MSA_92_542;MSA-23-01628;no SM left, mono- and dialkylated product
;ELN045639-018;3;18;2;MSA_92_542;MSA-23-01628;SM left, mono- and dialkylated product
;ELN045640-065;1;16;2;MSA_92_542;MSA-23-01629;no conversion
;ELN045640-066;1;18;2;MSA_92_542;MSA-23-01629;peak of P, sideprouct
;ELN045639-019;1;2;2;MSA_92_542;MSA-23-01638;SM left, mono- and dialkylated product
;ELN045639-020;1;2;2;MSA_92_542;MSA-23-01638;SM left, mono- and dialkylated product
;ELN045640-065;2;40;2;MSA_92_542;MSA-23-01639;no conversion
;ELN045640-067;1;18;2;MSA_92_542;MSA-23-01639;no SM, no mass of product detected
;ELN045639-019;2;18;2;MSA_92_542;MSA-23-01640;SM left, mono- and dialkylated product
;ELN045639-020;2;18;2;MSA_92_542;MSA-23-01640;SM left, mono- and dialkylated product
;ELN045639-021;1;2;2;MSA_92_542;MSA-23-01648;little amount of SM left
;ELN045639-022;1;2;2;MSA_92_542;MSA-23-01648;little amount of SM left
;ELN045639-023;1;2;2;MSA_92_542;MSA-23-01648;little amount of SM left
;ELN045639-021;2;18;2;MSA_92_542;MSA-23-01652;little amount of SM left, mono- and dialkylated products
;ELN045639-022;2;18;2;MSA_92_542;MSA-23-01652;little amount of SM left, mono- and dialkylated products
;ELN045639-023;2;18;2;MSA_92_542;MSA-23-01652;little amount of SM left, mono- and dialkylated products
;ELN045640-068;1;19;2;MSA_92_542;MSA-23-01653;no product
;ELN045640-069;1;19;2;MSA_92_542;MSA-23-01653;no product
;ELN045640-070;1;19;2;MSA_92_542;MSA-23-01653;little product
;ELN045640-071;1;17;2;MSA_92_542;MSA-23-01653;mainly product
;ELN045640-072;1;17;2;MSA_92_542;MSA-23-01653;mainly product
;ELN045640-073;1;18;2;MSA_92_542;MSA-23-01653;little product and SM without boronic acid
;ELN045639-024;1;2;2;MSA_92_542;MSA-23-01665;little amount of SM left
;ELN045639-025;1;2;2;MSA_92_542;MSA-23-01665;little amount of SM left
;ELN045639-026;1;2;2;MSA_92_542;MSA-23-01665;little amount of SM left
;ELN045639-024;2;18;2;MSA_92_542;MSA-23-01670;little amount of SM left, mono- and dialkylated products
;ELN045639-025;2;18;2;MSA_92_542;MSA-23-01670;little amount of SM left, mono- and dialkylated products
;ELN045639-026;2;18;2;MSA_92_542;MSA-23-01670;little amount of SM left, mono- and dialkylated products
;ELN045639-027;1;18;2;MSA_92_542;MSA-23-01670;little amount of SM left, mono- and dialkylated products
;ELN045640-074;1;18;2;MSA_92_542;MSA-23-01671;mainly product, some SM left
;ELN045640-075;1;18;2;MSA_92_542;MSA-23-01671;no conversion
;ELN045640-076;1;18;2;MSA_92_542;MSA-23-01671;no conversion
;ELN045640-077;1;17;2;MSA_92_542;MSA-23-01671;mainly mass of (5-chloro-2-morpholino-phenyl)boronic acid (54% LCMS)
;ELN045640-078;1;17;2;MSA_92_542;MSA-23-01671;mainly mass of (5-chloro-2-morpholino-phenyl)boronic acid (64% LCMS)
;ELN045640-079;1;17;2;MSA_92_542;MSA-23-01671;little product
;ELN045640-080;1;17;2;MSA_92_542;MSA-23-01671;no product
;ELN046464-001;1;1;2;MSA_92_542;MSA-23-01682;strong product formation, some SM left, toluene superimpose product
;ELN046464-001;2;2;2;MSA_92_542;MSA-23-01683;same as last measurement
;ELN045639-028;1;1;2;MSA_92_542;MSA-23-01684;SM left, mono- and dialkylated product
;ELN045639-029;1;1;2;MSA_92_542;MSA-23-01684;SM left, mono- and dialkylated product
;ELN045639-030;1;1;2;MSA_92_542;MSA-23-01684;SM left, mono- and dialkylated product
;ELN046464-001;3;3;2;MSA_92_542;MSA-23-01686;same as last measurement
;ELN046464-001;4;2;6;MSA_92_542;MSA-23-01690;SM/P (20/80)
;ELN046464-001;5;3;6;MSA_92_542;MSA-23-01689;SM/P (20/80)
;ELN046464-001;1;1;6;MSA_92_542;MSA-23-01681;SM/P (20/80)
;ELN046464-001;6;4;6;MSA_92_542;MSA-23-01691;SM/P (20/80)
;ELN045639-028;2;17;2;MSA_92_542;MSA-23-01694;SM left, mono- and dialkylated product
;ELN045639-029;2;17;2;MSA_92_542;MSA-23-01694;SM left, mono- and dialkylated product
;ELN045639-030;2;17;2;MSA_92_542;MSA-23-01694;SM left, mono- and dialkylated product
;ELN046464-001;7;19;6;MSA_92_542;MSA-23-01696;(nearly) full conversion, two side products
;ELN046464-002;1;1;6;MSA_92_542;MSA-23-01700;UV signal too weak
;ELN046464-003;1;1;6;MSA_92_542;MSA-23-01700;SM/P (80/20)
;ELN046464-002;2;2;6;MSA_92_542;MSA-23-01701;SM/P (66/33)
;ELN046464-002;3;3;6;MSA_92_542;MSA-23-01702;SM/P (50/50)
;ELN046464-002;4;4;6;MSA_92_542;MSA-23-01704;SM/P (30/70)
;ELN046464-002;5;5;6;MSA_92_542;MSA-23-01706;UV signal too weak
;ELN046464-004;1;1;6;MSA_92_542;MSA-23-01706;only SM no P formation
;ELN045639-031;1;1;2;MSA_92_542;MSA-23-01709;
;ELN045639-032;1;1;2;MSA_92_542;MSA-23-01709;
;ELN046464-002;6;6;6;MSA_92_542;MSA-23-01710;SM/P (33/66)
;ELN046464-004;2;2;6;MSA_92_542;MSA-23-01710;only SM no P formation
;ELN046464-002;7;7;6;MSA_92_542;MSA-23-01711;SM/P (17/83)
;ELN046464-002;8;8;6;MSA_92_542;MSA-23-01712;SM/P (30/70)
;ELN045639-031;2;18;2;MSA_92_542;MSA-23-01714;SM left, mono- and dialkylated product
;ELN045639-032;2;18;2;MSA_92_542;MSA-23-01714;SM left, mono- and dialkylated product
;ELN046464-002;9;22;6;MSA_92_542;MSA-23-01713;not full conversion, UV signal weak
;ELN046464-004;3;18;6;MSA_92_542;MSA-23-01713;only SM no P formation
;ELN045640-081;1;18;2;MSA_92_542;MSA-23-01715;some P, but also SM left
;ELN045640-082;1;18;2;MSA_92_542;MSA-23-01715;some P, but also SM left
;ELN045640-083;1;18;2;MSA_92_542;MSA-23-01715;some P, but also SM left
;ELN046464-002;10;23;2;MSA_92_542;MSA-23-01716;not full conversion, UV signal weak$
;ELN046464-005;1;1;2;MSA_92_542;MSA-23-01719;SM/P (60/40)
;ELN046464-006;1;1;2;MSA_92_542;MSA-23-01719;SM/P (93/7)
;ELN040616-118;1;1;2;MSA_92_542;MSA-23-01718;SM left, mono- and dialkylated product
;ELN040616-119;1;1;2;MSA_92_542;MSA-23-01718;only SM
;ELN046464-005;2;2;2;MSA_92_542;MSA-23-01719;SM/P (55/45)
;ELN046464-006;2;2;2;MSA_92_542;MSA-23-01719;SM/P (86/14)
;ELN046464-005;3;3;2;MSA_92_542;MSA-23-01723;SM/P (38/62) P+ one side product
;ELN046464-006;3;3;2;MSA_92_542;MSA-23-01723;SM/P (80/20) P+ one side product
;ELN045640-081;2;41;2;MSA_92_542;MSA-23-01725;no further conversion
;ELN045640-082;2;41;2;MSA_92_542;MSA-23-01725;no further conversion
;ELN045640-083;2;41;2;MSA_92_542;MSA-23-01725;product but still SM left
;ELN040616-118;2;17;2;MSA_92_542;MSA-23-01724;SM left, mono- and dialkylated product
;ELN040616-119;2;17;2;MSA_92_542;MSA-23-01724;only SM
;ELN046464-002;11;46;2;MSA_92_542;MSA-23-01728;SM/P (25/75) + two side products
;ELN046464-005;4;18;2;MSA_92_542;MSA-23-01728;(nearly) full conversion, P + one side product
;ELN046464-006;4;18;2;MSA_92_542;MSA-23-01728;(nearly) full conversion, P + one side product
;ELN046464-007;1;1;2;MSA_92_542;MSA-23-01730;SM/P (27/73) + a lot of side products
;ELN046464-008;1;1;2;MSA_92_542;MSA-23-01730;SM/P (58/42) + a lot of side products
;ELN046464-009;1;1;2;MSA_92_542;MSA-23-01730;SM/P (60/40) + a lot of side products
;ELN046464-007;2;2;2;MSA_92_542;MSA-23-01731;SM/P (29/71) + a lot of side products
;ELN046464-008;2;2;2;MSA_92_542;MSA-23-01731;SM/P (50/50) + a lot of side products
;ELN046464-009;2;2;2;MSA_92_542;MSA-23-01731;no SM and P, only side products
;ELN046464-007;3;6;2;MSA_92_542;MSA-23-01734;SM/P (19/81) + a lot of side products
;ELN046464-008;3;6;2;MSA_92_542;MSA-23-01734;SM/P (29/71) + a lot of side products
;ELN046464-009;3;6;2;MSA_92_542;MSA-23-01734;no SM and P, only side product
;ELN045640-084;1;18;2;MSA_92_542;MSA-23-01735;no conversion
;ELN045640-085;1;18;2;MSA_92_542;MSA-23-01735;mainly product
;ELN046464-007;4;22;2;MSA_92_542;MSA-23-01736;(nearly) full conversion, P + a lot of side products
;ELN046464-008;4;22;2;MSA_92_542;MSA-23-01736;SM/P (57/43) + a lot of side products
;ELN040616-120;1;1;2;MSA_92_542;MSA-23-01738;Mainly SM, little product peak
;ELN040616-120;2;3;2;MSA_92_542;MSA-23-01739;Mainly SM, little product peak
;ELN046464-010;1;1;2;MSA_92_542;MSA-23-01744;SM/P (97/3)
;ELN046464-011;1;1;2;MSA_92_542;MSA-23-01744;SM/P (42/58) + a lot of side products
;ELN046464-012;1;1;2;MSA_92_542;MSA-23-01744;SM/P (59/41) + a lot of side products
;ELN046464-010;2;2;2;MSA_92_542;MSA-23-01746;SM/P (87/13) + one side product
;ELN046464-011;2;2;2;MSA_92_542;MSA-23-01746;SM/P (47/53) + a lot of side products
;ELN046464-012;2;2;2;MSA_92_542;MSA-23-01746;SM/P (60/40) + a lot of side products
;ELN046464-010;3;3;2;MSA_92_542;MSA-23-01747;SM/P (79/21) + one side product
;ELN046464-011;3;3;2;MSA_92_542;MSA-23-01747;SM/P (48/52) + a lot of side products
;ELN046464-012;3;3;2;MSA_92_542;MSA-23-01747;SM/P (54/46) + a lot of side products
;ELN046464-010;4;4;2;MSA_92_542;MSA-23-01748;SM/P (70/30) + one side product
;ELN046464-011;4;4;2;MSA_92_542;MSA-23-01748;SM/P (45/55) + a lot of side products
;ELN046464-012;4;4;2;MSA_92_542;MSA-23-01748;SM/P (55/45) + a lot of side products
;ELN045640-086;1;21;2;MSA_92_542;MSA-23-01751;mainly SM, 2 different borylated products
;ELN045640-087;1;21;2;MSA_92_542;MSA-23-01751;P/SM/boronic acid --> 1/1/1
;ELN045640-088;1;19;2;MSA_92_542;MSA-23-01751;P/SM/boronic acid --> 4/3/2
;ELN045640-089;1;19;2;MSA_92_542;MSA-23-01751;mainly SM
;ELN045640-090;1;19;2;MSA_92_542;MSA-23-01751;mainly SM, little product and boronic acid
;ELN045640-091;1;21;2;MSA_92_542;MSA-23-01751;SM/boronic acid --> 1/1
;ELN045640-092;1;19;2;MSA_92_542;MSA-23-01751;mainly product, little SM and boronic acid
;ELN046464-010;5;23;2;MSA_92_542;MSA-23-01752;SM/P (86/14) + one side product
;ELN046464-013;1;15;2;MSA_92_542;MSA-23-01752;SM/P (66/34)
;ELN040616-118;3;21;2;MSA_92_542;MSA-23-01754;no conversion, peak of SM
;ELN040616-119;3;21;2;MSA_92_542;MSA-23-01754;SM left, mono- and dialkylated product
;ELN040616-120;3;25;2;MSA_92_542;MSA-23-01754;mass of SM
;ELN046464-014;1;1;2;MSA_92_542;MSA-23-01755;SM/P (39/61) + one side product
;ELN046464-015;1;1;2;MSA_92_542;MSA-23-01755;SM/P (93/7) + one side product
;ELN046464-014;2;5;2;MSA_92_542;MSA-23-01759;SM/P (26/74) + two side products
;ELN046464-015;2;5;2;MSA_92_542;MSA-23-01759;SM/P (37/63) + two side products
;ELN040616-121;1;1;2;MSA_92_542;MSA-23-01760;mostly SM, small amounts of product
;ELN040616-122;1;1;2;MSA_92_542;MSA-23-01760;still SM, lots of monoalkylation, little dialkylation
;ELN046464-016;1;1;2;MSA_92_542;MSA-23-01762;SM/P (95/5) + one side product
;ELN045640-087;2;45;2;MSA_92_542;MSA-23-01763;P/SM/boronic acid --> 2/1/1, major peak is deborylated SM
;ELN045640-088;2;43;2;MSA_92_542;MSA-23-01763;P/SM/boronic acid --> 4/3/2
;ELN045640-089;2;43;2;MSA_92_542;MSA-23-01763;major peak is boronic acid, P/boronic acid --> 1/2
;ELN045640-090;2;43;2;MSA_92_542;MSA-23-01763;mainly SM, little product and boronic acid
;ELN045640-091;2;45;2;MSA_92_542;MSA-23-01763;SM/boronic acid --> 1/1
;ELN040616-119;4;41;2;MSA_92_542;MSA-23-01764;only SM
;ELN040616-121;2;16;2;MSA_92_542;MSA-23-01764;mostly SM, small amounts of product
;ELN040616-122;2;16;2;MSA_92_542;MSA-23-01764;still SM, lots of monoalkylation, little dialkylation
;ELN046464-010;6;48;2;MSA_92_542;MSA-23-01765;not full conversion, UV signal weak
;ELN046464-013;2;40;2;MSA_92_542;MSA-23-01765;SM/P (32/68) + two side products
;ELN046464-014;3;22;2;MSA_92_542;MSA-23-01765;SM/P (16/84) + two side products
;ELN046464-015;3;22;2;MSA_92_542;MSA-23-01765;(nearly) full conversion, P + two side products
;ELN046464-016;2;18;2;MSA_92_542;MSA-23-01765;SM/P (54/46) + one side product
;ELN040616-120;2;3;2;MSA_92_542;MSA-23-01766;
;ELN040616-120;3;6;2;MSA_92_542;MSA-23-01768;
;ELN040616-123;1;1;2;MSA_92_542;MSA-23-01768;
;ELN040616-124;1;1;2;MSA_92_542;MSA-23-01768;
;ELN046464-013;3;49;2;MSA_92_542;MSA-23-01769;SM/P (21/79) + two side products
;ELN046464-014;4;32;2;MSA_92_542;MSA-23-01769;SM/P (12/88) + two side products
;ELN046464-016;3;26;2;MSA_92_542;MSA-23-01769;SM/P (45/55) + two side products
;ELN045640-087;3;69;2;MSA_92_542;MSA-23-01771;mainly P and deborylated SM
;ELN045640-088;3;67;2;MSA_92_542;MSA-23-01771;mainly P  
;ELN045640-089;3;67;2;MSA_92_542;MSA-23-01771;P/boronic acid 1/1
;ELN045640-090;3;67;2;MSA_92_542;MSA-23-01771;mainly SM
;ELN045640-091;3;69;2;MSA_92_542;MSA-23-01771;boronic acid/SM (1/1)
;ELN045640-093;1;22;2;MSA_92_542;MSA-23-01771;mainly SM
;ELN045640-095;1;22;2;MSA_92_542;MSA-23-01771;mainly SM and boronic acid
;ELN040616-119;5;65;2;MSA_92_542;MSA-23-01770;
;ELN040616-120;4;22;2;MSA_92_542;MSA-23-01770;
;ELN040616-123;2;16;2;MSA_92_542;MSA-23-01770;
;ELN040616-124;2;16;2;MSA_92_542;MSA-23-01770;
;ELN046464-016;4;42;2;MSA_92_542;MSA-23-01773;SM/P (44/56) + two side products
;ELN040616-120;5;24;2;MSA_92_542;MSA-23-01774;
;ELN045640-099;1;2;2;MSA_92_542;MSA-23-01776;mainly P
;ELN045640-100;1;2;2;MSA_92_542;MSA-23-01776;mainly P
;ELN045640-101;1;2;2;MSA_92_542;MSA-23-01776;mainly P
;ELN045640-102;1;2;2;MSA_92_542;MSA-23-01776;mainly P
;ELN045640-103;1;2;2;MSA_92_542;MSA-23-01776;mainly P
;ELN046464-016;5;48;2;MSA_92_542;MSA-23-01782;SM/P (37/63) + two side products
;ELN045640-089;4;91;2;MSA_92_542;MSA-23-01786;P/boronic acid (1/1)
;ELN045640-090;4;91;2;MSA_92_542;MSA-23-01786;mainly SM
;ELN045640-091;4;93;2;MSA_92_542;MSA-23-01786;boronic acid/SM (1/1)
;ELN045640-093;2;46;2;MSA_92_542;MSA-23-01786;mainly SM
;ELN045640-095;2;46;2;MSA_92_542;MSA-23-01786;SM and boronic acid (1/5)
;ELN046464-016;6;67;2;MSA_92_542;MSA-23-01790;SM/P (42/58) + two side products
;ELN046464-017;1;16;2;MSA_92_542;MSA-23-01790;SM/P (47/53) + four side products
;ELN045640-096;1;21;2;MSA_92_542;MSA-23-01791;different product, diborylated and SM
;ELN045640-097;1;70;2;MSA_92_542;MSA-23-01800;product, little SM left, different side products
;ELN045640-098;1;70;2;MSA_92_542;MSA-23-01800;product, little SM left, different side products
;ELN045640-094;1;16;2;MSA_92_542;MSA-23-01808;P, no SM
;ELN045640-104;1;16;2;MSA_92_542;MSA-23-01808;P, no SM
;ELN045640-105;1;16;2;MSA_92_542;MSA-23-01808;P, no SM
;ELN046464-018;1;2;2;MSA_92_542;MSA-23-01816;SM/P (98/2) +  3 side products
;ELN046464-020;1;2;2;MSA_92_542;MSA-23-01816;SM/P (76/24) + two side products
;ELN046464-019;1;1;2;MSA_92_542;MSA-23-01817;SM/P (97/3)
;ELN046464-021;1;1;2;MSA_92_542;MSA-23-01817;SM/P (83/17) + three side products
;ELN046464-022;1;1,5;2;MSA_92_542;MSA-23-01817;SM/P (76/24) + three side products
;ELN045640-106;1;18;2;MSA_92_542;MSA-23-01819;product and two sideproducts
;ELN045640-107;1;18;2;MSA_92_542;MSA-23-01819;mainly product
;ELN045640-108;1;18;2;MSA_92_542;MSA-23-01819;mainly product, different peaks with mass of P
;ELN045640-109;1;18;2;MSA_92_542;MSA-23-01819;mainly product
;ELN046464-018;2;19;2;MSA_92_542;MSA-23-01822;SM/P (97/6) + three side products
;ELN046464-019;2;17;2;MSA_92_542;MSA-23-01822;SM/P (97/6) + one side product
;ELN046464-020;2;19;2;MSA_92_542;MSA-23-01822;SM/P (21/79) + more than two side products
;ELN046464-021;2;17;2;MSA_92_542;MSA-23-01822;SM/P (33/67) + more than two side products
;ELN046464-022;2;17;2;MSA_92_542;MSA-23-01822;SM/P (17/83) + four side products
;ELN045640-110;1;18;2;MSA_92_542;MSA-23-01832;P formed, but SM left (1/1)
;ELN045640-111;1;18;2;MSA_92_542;MSA-23-01832;P formed, but SM left (1/1)
;ELN045640-112;1;18;2;MSA_92_542;MSA-23-01832;P formed 
;ELN045640-110;2;42;2;MSA_92_542;MSA-23-01843;P formed, still some SM left
;ELN045640-111;2;42;2;MSA_92_542;MSA-23-01843;sideproduct, no product
;ELN046464-023;1;1;2;MSA_92_542;MSA-23-01855;SM/P (94/6) + two side products
;ELN046464-024;1;1;2;MSA_92_542;MSA-23-01855;SM/P (91/9) + two side products (more side product than 23)
;ELN046464-025;1;1;2;MSA_92_542;MSA-23-01855;SM/P (89/11) + one side product
;ELN046464-026;1;1;2;MSA_92_542;MSA-23-01855;SM/P (79/21) + one side product
;ELN046464-027;1;1;2;MSA_92_542;MSA-23-01855;SM/P (85/15) + one side product
;ELN046464-028;1;1;2;MSA_92_542;MSA-23-01855;no conversion
;ELN046464-029;1;1;2;MSA_92_542;MSA-23-01855;SM/P (92/8) + one side product
;ELN046464-030;1;1;2;MSA_92_542;MSA-23-01855;SM/P (70/30) + more than two side products
;ELN046464-023;2;3;2;MSA_92_542;MSA-23-01856;SM/P (80/20) + two side products
;ELN046464-024;2;3;2;MSA_92_542;MSA-23-01856;SM/P (73/26) + two side products
;ELN046464-025;2;3;2;MSA_92_542;MSA-23-01856;SM/P (58/42) + two side products
;ELN046464-026;2;3;2;MSA_92_542;MSA-23-01856;SM/P (52/48) + more than two side products
;ELN046464-027;2;3;2;MSA_92_542;MSA-23-01856;SM/P (56/44) + one side product
;ELN046464-028;2;3;2;MSA_92_542;MSA-23-01856;SM/P (71/29) broad weak peaks
;ELN046464-029;2;3;2;MSA_92_542;MSA-23-01856;SM/P (77/23) + more than two side products
;ELN046464-030;2;3;2;MSA_92_542;MSA-23-01856;SM/P (18/82) + a lot of side products
;ELN040616-125;1;1;2;MSA_92_542;MSA-23-01857;P+70 only
;ELN040616-126;1;1;2;MSA_92_542;MSA-23-01857;SM and a little P+70
;ELN040616-127;1;1;2;MSA_92_542;MSA-23-01857;SM and some P+70
;ELN045640-113;1;16;2;MSA_92_542;MSA-23-01859;P, no SM
;ELN045640-114;1;16;2;MSA_92_542;MSA-23-01859;P, still some SM
;ELN040616-125;2;16;2;MSA_92_542;MSA-23-01858;P+70 only
;ELN040616-126;2;16;2;MSA_92_542;MSA-23-01858;SM and a little P+70
;ELN040616-127;2;16;2;MSA_92_542;MSA-23-01858;SM and some P+70
;ELN046464-023;3;21;2;MSA_92_542;MSA-23-01861;full conversion, P + lots of side products
;ELN046464-024;3;21;2;MSA_92_542;MSA-23-01861;full conversion, P + two side products
;ELN046464-025;3;21;2;MSA_92_542;MSA-23-01861;nearly full conversion, P + one side product (1/1)
;ELN046464-026;3;21;2;MSA_92_542;MSA-23-01861;full conversion, P + one side product (1/1)
;ELN046464-029;3;21;2;MSA_92_542;MSA-23-01861;full conversion, P + lots of side products
;ELN046464-030;3;21;2;MSA_92_542;MSA-23-01861;full conversion, P + lots of side products
;ELN040616-128;1;16;2;MSA_92_542;MSA-23-01868;still SM with a little P+70
;ELN040616-129;1;16;2;MSA_92_542;MSA-23-01868;2 Peakswith P+70
;ELN046464-031;1;1;2;MSA_92_542;MSA-23-01870;only SM no conversion
;ELN045640-115;1;3;2;MSA_92_542;MSA-23-01871;mainly P
;ELN046464-031;2;4;2;MSA_92_542;MSA-23-01872;only SM no conversion
;ELN046464-032;1;2;2;MSA_92_542;MSA-23-01872;SM + small amounts of by-product MS+(318.8)
;ELN046464-031;3;6;2;MSA_92_542;MSA-23-01874;only SM no conversion
;ELN046464-032;2;4;2;MSA_92_542;MSA-23-01874;SM + small amounts of by-products MS+(318.8) and MS+(285.9) 
;ELN046464-031;4;24;2;MSA_92_542;MSA-23-01881;only SM no conversion
;ELN046464-032;3;22;2;MSA_92_542;MSA-23-01881;SM + small amounts of by-products MS+(318.8) and MS+(285.9) 
;ELN045640-117;1;2;2;MS3_92_523;MS3-23-90837;P formed, still SM
;ELN045640-118;1;2;2;MS3_92_523;MS3-23-90837;P and deborylated SM
;ELN045640-117;1;2;2;MSA_92_542;MSA-23-01885;P
;ELN045640-118;1;2;2;MSA_92_542;MSA-23-01885;P
;ELN045640-117;2;4;2;MS3_92_523;MS3-23-90854;P
;ELN045640-117;2;4;2;MSA_92_542;MSA-23-01885;P
;ELN040616-130;1;16;2;MSA_92_542;MSA-23-01889;
;ELN040616-131;1;16;2;MSA_92_542;MSA-23-01889;
;ELN040616-132;1;16;2;MSA_92_542;MSA-23-01889;
;ELN045640-116;1;15;2;MSA_92_542;MSA-23-01890;mainly P
;ELN046464-033;1;17;2;MSA_92_542;MSA-23-01892;full conversion to product, small amounts of side products 
;ELN046464-034;1;17;2;MSA_92_542;MSA-23-01892;full conversion to product, small amounts of side products 
;ELN046464-035;1;17;2;MSA_92_542;MSA-23-01892;full conversion to product, small amounts of side products 
;ELN045640-121;1;2;2;MSA_92_542;MSA-23-01912;mainly P
;ELN045640-122;1;2;2;MSA_92_542;MSA-23-01912;mainly P
;ELN045639-033;1;1;2;MSA_92_542;MSA-23-01917;small amount of SM left
;ELN045639-034;1;1;2;MSA_92_542;MSA-23-01917;small amount of SM left
;ELN045639-033;2;18;2;MSA_92_542;MSA-23-01925;full conversion  
;ELN045639-034;2;18;2;MSA_92_542;MSA-23-01925;full conversion  
;ELN045640-119;1;17;2;MSA_92_542;MSA-23-01926;mainly P
;ELN045640-120;1;17;2;MSA_92_542;MSA-23-01926;one peak, no mass of P
;ELN045640-128;1;17;2;MSA_92_542;MSA-23-01926;P, still some SM
;ELN045640-129;1;17;2;MSA_92_542;MSA-23-01926;P, still some SM
;ELN045640-128;2;22;2;MSA_92_542;MSA-23-01931;no further conversion compared to IPC1
;ELN045640-129;2;22;2;MSA_92_542;MSA-23-01931;no further conversion compared to IPC1
;ELN045640-128;3;23;2;MSA_92_542;MSA-23-01933;further converstion compared to IPC 2
;ELN045640-129;3;23;2;MSA_92_542;MSA-23-01933;further converstion compared to IPC 2
;ELN045639-035;1;1;2;MSA_92_542;MSA-23-01934;small amount of monoalkylated P, lot of SM left
;ELN045639-036;1;1;2;MSA_92_542;MSA-23-01934;small amount of monoalkylated P, lot of SM left
;ELN040616-133;1;1;2;MSA_92_542;MSA-23-01935;SM and P+40
;ELN040616-134;1;1;2;MSA_92_542;MSA-23-01935;no conversion to product only SM
;ELN045639-035;2;18;2;MSA_92_542;MSA-23-01940;
;ELN045639-036;2;18;2;MSA_92_542;MSA-23-01940;
;ELN040616-133;2;18;2;MSA_92_542;MSA-23-01941;SM and P+40
;ELN040616-134;2;18;2;MSA_92_542;MSA-23-01941;no conversion to product only SM
;ELN045640-123;1;17;2;MSA_92_542;MSA-23-01942;mainly P
;ELN045640-124;1;17;2;MSA_92_542;MSA-23-01942;one big peak, mass of P not detected
;ELN045640-125;1;17;2;MSA_92_542;MSA-23-01942;traces of P
;ELN045640-126;1;17;2;MSA_92_542;MSA-23-01942;one big peak, mass of P not detected
;ELN045640-127;1;17;2;MSA_92_542;MSA-23-01942;one big peak, mass of P not detected
;ELN045640-128;4;41;2;MSA_92_542;MSA-23-01942;no further conversion compared to IPC 3
;ELN045640-129;4;41;2;MSA_92_542;MSA-23-01942;no further conversion compared to IPC 3
;ELN046464-036;1;16;2;MSA_92_542;MSA-23-01949;66 % percent yield according to Internal standard
;ELN045639-037;1;1;2;MSA_92_542;MSA-23-01954;
;ELN045639-038;1;1;2;MSA_92_542;MSA-23-01954;
;ELN040616-135;1;1;2;MSA_92_542;MSA-23-01953;
;ELN040616-136;1;1;2;MSA_92_542;MSA-23-01953;
;ELN045639-037;2;18;2;MSA_92_542;MSA-23-01955;
;ELN045639-038;2;18;2;MSA_92_542;MSA-23-01955;
;ELN040616-135;2;18;2;MSA_92_542;MSA-23-01956;
;ELN040616-136;2;18;2;MSA_92_542;MSA-23-01956;
;ELN046464-037;1;18;2;MSA_92_542;MSA-23-01961;no full conversion, SM/P/side P (20/40/40), 32 % percent yield according to Internal standard
