User;ELN ID;IPC no.;Duration (h);LC-MS method (min);LC-MS instrument;LC-MS file name;IPC result
;ELN044358-022;2;2;2;MSA_92_542;MSA-22-00929;Mainly SM, P+16 observed (MS)
;ELN044358-022;3;3;2;MSA_92_542;MSA-22-00930;UV P+16 observed
;ELN044358-022;4;16;2;MSA_92_542;MSA-22-00931;no further conversion
;ELN040616-058;2;19;2;MSA_92_542;MSA-22-00932;Low conversion to product, added 3 eq of oxidant
;ELN040616-059;2;19;2;MSA_92_542;MSA-22-00932;low conversion to product, added 3 eq of oxidant
;ELN040616-060;2;19;2;MSA_92_542;MSA-22-00932;lowconversion to product, added 3 eq of oxidant
;ELN040516-073;1;12;6;MSA_92_542;MSA-22-00934;by SPH
;ELN040516-073;2;24;6;MSA_92_542;MSA-22-00934;by SPH
;ELN040516-073;3;96;6;MSA_92_542;MSA-22-00934;by SPH
;ELN040516-072;1;24;6;MSA_92_542;MSA-22-00934;by SPH
;ELN040516-072;2;48;6;MSA_92_542;MSA-22-00934;by SPH
;ELN040516-072;3;120;6;MSA_92_542;MSA-22-00934;by SPH
;ELN044358-023;1;1;2;MSA_92_542;MSA-22-00935;several Peaks, mainly SM
;ELN044358-022;5;17;2;MSA_92_542;MSA-22-00933;
;ELN044358-022;6;18;2;MSA_92_542;MSA-22-00935;
;ELN040616-058;3;20;2;MSA_92_542;MSA-22-00936;No difference to IPC 2
;ELN040616-059;3;20;2;MSA_92_542;MSA-22-00936;No difference to IPC 2
;ELN040616-060;3;20;2;MSA_92_542;MSA-22-00936;No difference to IPC 2
;ELN044358-023;2;2;2;MSA_92_542;MSA-22-00935;increased new Peaks, SM observed
;ELN044358-023;3;3;2;MSA_92_542;MSA-22-00937;No SM,rt.=0.8-> P+14 od. P+32, rt.=0.93-> P+28, rt.=0.86-> trioxo?, rt.=0.83->P+16
;ELN044358-022;7;20;2;MSA_92_542;MSA-22-00939;P+16 : SM (1:1) -> UV
;ELN044358-022;8;24;2;MSA_92_542;MSA-22-00940;P+16 : SM (2:1) -> UV
;ELN040616-058;4;26;2;MSA_92_542;MSA-22-00941;No difference to IPC 3, stirr for another night
;ELN040616-059;4;26;2;MSA_92_542;MSA-22-00941;No difference to IPC 3, stirr for another night
;ELN040616-060;4;26;2;MSA_92_542;MSA-22-00941;No difference to IPC 3, stirr for another night
;ELN044358-022;9;26;2;MSA_92_542;MSA-22-00942;no UV -> almost no SM left ->stopped
;ELN040616-058;5;43;2;MSA_92_542;MSA-22-00944;decomposition
;ELN040616-059;5;43;2;MSA_92_542;MSA-22-00944;decomposition
;ELN040616-060;5;43;2;MSA_92_542;MSA-22-00944;decomposition
;ELN044358-025;1;1;2;MSA_92_542;MSA-22-00946;reaction slower in comparison to former run, more selective?
;ELN044358-025;2;2;2;MSA_92_542;MSA-22-00948;new Peaks occured
;ELN044358-025;3;3;2;MSA_92_542;MSA-22-00949;conversion almost complete
;ELN040616-061;1;19;2;MSA_92_542;MSA-22-00945;no product was formed
;ELN040616-062;1;19;2;MSA_92_542;MSA-22-00945;Two product seen with P+169
;ELN044358-025;4;5;2;MSA_92_542;MSA-22-00952;byproducts increased, SM same UV adsorption
;ELN044358-025;5;7;2;MSA_92_542;MSA-22-00954;small amount SM, more byproducts occured -> stopped
;ELN044358-026;1;2;2;MSA_92_542;MSA-22-00958;P1 : SM (1:2)
;ELN044358-026;2;4;2;MSA_92_542;MSA-22-00960;P1 : SM (1:1)
;ELN044358-026;3;5;2;MSA_92_542;MSA-22-00961;P1 : SM (3:2)
;ELN044358-026;4;6;2;MSA_92_542;MSA-22-00962;P1 : SM (2:1)
;ELN044358-026;5;24;2;MSA_92_542;MSA-22-00964;finished
;ELN044358-024;1;1;2;MSA_92_542;MSA-22-00965;P+16,P+32, SM observed
;ELN044358-024;2;2;2;MSA_92_542;MSA-22-00968;mostly products
;ELN044358-024;3;3;2;MSA_92_542;MSA-22-00968;mostly products
;ELN044358-024;4;6;2;MSA_92_542;MSA-22-00969;mostly products, small amount SM
;ELN044358-024;5;8;2;MSA_92_542;MSA-22-00970;finished P+16,P+32
;ELN044358-028;1;14;2;MSA_92_542;MSA-22-00982;finished P+16
;ELN040616-067;1;1;2;MSA_92_542;MSA-22-00988;only SM
;ELN040616-068;1;1;2;MSA_92_542;MSA-22-00988;SM plus small amounts of P+82
;ELN044358-029;1;2;2;MSA_92_542;MSA-22-00990;SM + potproducts
;ELN044358-030;1;2;2;MSA_92_542;MSA-22-00990;SM + potproducts
;ELN040616-067;2;3;2;MSA_92_542;MSA-22-00992;SM plus small amounts of P+82
;ELN040616-068;2;3;2;MSA_92_542;MSA-22-00992;SM plus two product with P+82 and one with P+164
;ELN044358-029;2;3;2;MSA_92_542;MSA-22-00991;SM + potproducts -> slow conversion
;ELN044358-030;2;3;2;MSA_92_542;MSA-22-00991;SM + potproducts -> slow conversion
;ELN040616-067;3;5;2;MSA_92_542;MSA-22-00994;SM plus small amounts of P+82
;ELN040616-068;3;5;2;MSA_92_542;MSA-22-00994;SM plus two product with P+82 and one with P+164
;ELN044358-029;3;5;2;MSA_92_542;MSA-22-00993;reaction stopped, oxidant added
;ELN044358-030;3;5;2;MSA_92_542;MSA-22-00993;reaction stopped, oxidant added
;ELN044358-029;4;7;2;MSA_92_542;MSA-22-00995;slow conversion
;ELN044358-030;4;7;2;MSA_92_542;MSA-22-00995;slow conversion
;ELN040616-067;4;72;2;MSA_92_542;MSA-22-00996;P+82 and P+164
;ELN040616-068;4;72;2;MSA_92_542;MSA-22-00996;good conversion to P+82 and high conversion to P+164
;ELN044358-029;4;72;2;MSA_92_542;MSA-22-00998;no further converison -> stopped
;ELN044358-030;4;72;2;MSA_92_542;MSA-22-00998;decomposed -> discarded
;ELN040616-066;1;1;2;MSA_92_542;MSA-22-00999;little conversion to P+82
;ELN040616-066;2;3;2;MSA_92_542;MSA-22-01000;little conversion to P+82
;ELN044358-031;1;2;2;MSA_92_542;MSA-22-01001;conversion to potproducts
;ELN044358-032;1;2;2;MSA_92_542;MSA-22-01001;same products as in ELN044358-029
;ELN044358-031;2;4;2;MSA_92_542;MSA-22-01002;
;ELN044358-032;2;4;2;MSA_92_542;MSA-22-01002;
;ELN040616-066;3;5;2;MSA_92_542;MSA-22-01004;good conversion tp P+82
;ELN040616-066;4;23;2;MSA_92_542;MSA-22-01007;P+82 and P+164 1:1
;ELN044358-033;1;2;2;MSA_92_542;MSA-23-01032;promising Peaks missing, P+16/P+32 -> stopped
;ELN044358-034;1;2;2;MSA_92_542;MSA-23-01032;new unknown Mainpeak
;ELN040616-069;1;1;2;MSA_92_542;MSA-23-01033;only SM
;ELN040616-070;1;1;2;MSA_92_542;MSA-23-01033;only SM
;ELN040616-071;1;1;2;MSA_92_542;MSA-23-01033;only SM
;ELN040616-069;2;21;2;MSA_92_542;MSA-23-01037;Mostly P+56
;ELN040616-070;2;21;2;MSA_92_542;MSA-23-01037;hughe mess
;ELN040616-071;2;21;2;MSA_92_542;MSA-23-01037;Mostly P+82
;ELN040616-072;1;18;2;MSA_92_542;MSA-23-01037;several P+28 peaks
;ELN040616-073;1;18;2;MSA_92_542;MSA-23-01037;P+56
;ELN040616-074;1;18;2;MSA_92_542;MSA-23-01037;no product seen
;ELN044358-033;2;3;2;MSA_92_542;MSA-23-01034;increasing of P+32
;ELN044358-034;2;3;2;MSA_92_542;MSA-23-01034;no changes -> stopped
;ELN040616-075;1;18;2;MSA_92_542;MSA-23-01040;P+84, P+168 but mess
;ELN040616-076;1;18;2;MSA_92_542;MSA-23-01040;P+56
;ELN040616-077;1;18;2;MSA_92_542;MSA-23-01040;60% SM, 35% P+54, 5% P+108
;ELN040616-078;1;18;2;MSA_92_542;MSA-23-01042;P+56 and P+112 (2 products)
;ELN040616-079;1;18;2;MSA_92_542;MSA-23-01042;SM:P+54 ratio of 3:2
;ELN040616-080;1;18;2;MSA_92_542;MSA-23-01042;SM:P+54 ratio of 2:1
;ELN040616-085;1;18;2;MSA_92_542;MSA-23-01048;P+82
;ELN040616-084;1;18;2;MSA_92_542;MSA-23-01048;SM, P+82 and P+82
;ELN040616-083;1;18;2;MSA_92_542;MSA-23-01048;SM:P+54 ratio of 2:1
;ELN040616-082;1;18;2;MSA_92_542;MSA-23-01048;SM and P+70 close to each other
;ELN040616-081;1;18;2;MSA_92_542;MSA-23-01048;little conversion to product (P+84)
;ELN040616-086;1;18;2;MSA_92_542;MSA-23-01081;little conversion to product (P+70) 2 products
;ELN040616-087;1;18;2;MSA_92_542;MSA-23-01081;no conversion to product but decyclopropylation
;ELN040616-088;1;18;2;MSA_92_542;MSA-23-01081;no conversion to product but decyclopropylation
;ELN040616-089;1;18;2;MSA_92_542;MSA-23-01081;no conversion to product but decyclopropylation
